Name,Ticker,Date,Actual,Estimate
Autodesk Inc,ADSK US,2018/5/24,-0.31,0.032
Ross Stores Inc,ROST US,2018/5/24,1.11,1.07
Best Buy Co Inc,BBY US,2018/5/24,0.82,0.745
L Brands Inc,LB US,2018/5/23,0.17,0.153
Tiffany & Co,TIF US,2018/5/23,1.14,0.835
Target Corp,TGT US,2018/5/23,1.32,1.386
Lowe's Cos Inc,LOW US,2018/5/23,1.19,1.216
TJX Cos Inc/The,TJX US,2018/5/22,0.56,0.511
Kohl's Corp,KSS US,2018/5/22,0.64,0.499
Nordstrom Inc,JWN US,2018/5/17,0.51,0.434
Walmart Inc,WMT US,2018/5/17,1.14,1.12
Macy's Inc,M US,2018/5/16,0.48,0.366
Home Depot Inc/The,HD US,2018/5/15,2.08,2.051
NVIDIA Corp,NVDA US,2018/5/10,2.05,1.656
